trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-100,-838.7812995964026,"{0: 73, 1: 0, 2: 41, 3: 6, 4: 10}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,18,-75.01193753723581,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,-56,-709.2187431748522,"{0: 44, 1: 0, 2: 25, 3: 8, 4: 9}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,15,-4.167499886614641,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-788.9011371654369,"{0: 66, 1: 0, 2: 35, 3: 11, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-61,-533.3808171985846,"{0: 53, 1: 0, 2: 20, 3: 6, 4: 7}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-750.1231697398848,"{0: 75, 1: 0, 2: 28, 3: 5, 4: 12}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,12,-62.04226378734224,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-668.6266303229621,"{0: 76, 1: 0, 2: 31, 3: 3, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-57,-474.49917926903566,"{0: 48, 1: 0, 2: 17, 3: 6, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-12,-266.9345776788705,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-782.2921334304167,"{0: 70, 1: 0, 2: 31, 3: 9, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,13,-191.76932459192983,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,7,-58.75641142848062,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,-40,-453.7039082150379,"{0: 32, 1: 0, 2: 17, 3: 6, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-91,-764.2127885849177,"{0: 62, 1: 0, 2: 33, 3: 6, 4: 10}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-824.4942239442723,"{0: 70, 1: 0, 2: 32, 3: 6, 4: 12}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-72,-671.0254466076225,"{0: 60, 1: 0, 2: 27, 3: 6, 4: 9}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-761.7605030435274,"{0: 76, 1: 0, 2: 27, 3: 5, 4: 12}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-41,-530.6617611013398,"{0: 32, 1: 0, 2: 17, 3: 4, 4: 8}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-57,-811.2737451396739,"{0: 35, 1: 0, 2: 30, 3: 6, 4: 11}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-47,-544.0090402383927,"{0: 34, 1: 0, 2: 20, 3: 6, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-863.022409822653,"{0: 65, 1: 0, 2: 38, 3: 6, 4: 11}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,-2,-229.59374354294164,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-5,-223.23095584465378,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-82,-826.9504634981951,"{0: 66, 1: 0, 2: 25, 3: 9, 4: 12}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-1168.3508008057634,"{0: 63, 1: 0, 2: 29, 3: 9, 4: 19}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-863.3550465513408,"{0: 68, 1: 0, 2: 31, 3: 10, 4: 11}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-50,-631.1624506515271,"{0: 39, 1: 0, 2: 23, 3: 4, 4: 9}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-16,-196.97200229395744,"{0: 30, 1: 0, 2: 12, 3: 2, 4: 2}",0
